,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
206,BLINCYTO,adverse reactions,exact-meddra,78,123,77,,1,,0.9871794871794872,
207,BLINCYTO,adverse reactions,non-meddra,16,123,0,,16,,0.0,
208,BLINCYTO,adverse reactions,negated,1,123,0,,1,,0.0,
209,BLINCYTO,adverse reactions,discontinuous,1,123,0,,1,,0.0,
210,BLINCYTO,warnings and precautions,all,46,61,23,38.0,23,0.3770491803278688,0.5,0.42990654205607476
211,BLINCYTO,warnings and precautions,exact-meddra,24,61,23,,1,,0.9583333333333334,
212,BLINCYTO,warnings and precautions,non-meddra,22,61,0,,22,,0.0,
213,BLINCYTO,warnings and precautions,negated,1,61,0,,1,,0.0,
214,BLINCYTO,warnings and precautions,discontinuous,2,61,0,,2,,0.0,
215,BLINCYTO,boxed warnings,all,4,1,1,0.0,3,1.0,0.25,0.4
216,BLINCYTO,boxed warnings,exact-meddra,1,1,1,,0,,1.0,
217,BLINCYTO,boxed warnings,non-meddra,3,1,0,,3,,0.0,
218,BLINCYTO,all-concat,all,118,152,85,67.0,33,0.5592105263157895,0.7203389830508474,0.6296296296296297
219,BLINCYTO,all-concat,exact-meddra,87,152,85,,2,,0.9770114942528736,
220,BLINCYTO,all-concat,non-meddra,31,152,0,,31,,0.0,
221,BLINCYTO,all-concat,negated,2,152,0,,2,,0.0,
222,BLINCYTO,all-concat,discontinuous,2,152,0,,2,,0.0,
223,STENDRA,adverse reactions,all,59,102,53,49.0,6,0.5196078431372549,0.8983050847457628,0.6583850931677019
224,STENDRA,adverse reactions,exact-meddra,53,102,52,,1,,0.9811320754716981,
225,STENDRA,adverse reactions,non-meddra,6,102,1,,5,,0.16666666666666666,
226,STENDRA,warnings and precautions,all,18,68,7,61.0,11,0.10294117647058823,0.3888888888888889,0.1627906976744186
227,STENDRA,warnings and precautions,exact-meddra,4,68,4,,0,,1.0,
228,STENDRA,warnings and precautions,non-meddra,14,68,3,,11,,0.21428571428571427,
229,STENDRA,warnings and precautions,discontinuous,1,68,0,,1,,0.0,
230,STENDRA,all-concat,all,72,151,58,93.0,14,0.3841059602649007,0.8055555555555556,0.5201793721973095
231,STENDRA,all-concat,exact-meddra,56,151,55,,1,,0.9821428571428571,
232,STENDRA,all-concat,non-meddra,16,151,3,,13,,0.1875,
233,STENDRA,all-concat,discontinuous,1,151,0,,1,,0.0,
234,XIAFLEX,adverse reactions,all,72,83,48,35.0,24,0.5783132530120482,0.6666666666666666,0.6193548387096774
235,XIAFLEX,adverse reactions,exact-meddra,48,83,48,,0,,1.0,
236,XIAFLEX,adverse reactions,non-meddra,24,83,0,,24,,0.0,
237,XIAFLEX,adverse reactions,negated,1,83,0,,1,,0.0,
